"Text","Assoc 1","Assoc 2","Assoc 3","Assoc 4","Assoc 5","Feeling","Colour"
"[A day dream] Mort was on the computer, which he was when I woke up. My mother came and said ""come on upstairs. I want you to try this dress on."" I put the dress on. It had a zipper and a belt and this thing that snapped and it hung down the back. I never saw a dress like it. My father in law and his wife came in. They had a whole bunch of groceries. I guess my dad went out and he came in, and he must have gone shopping for us because he had groceries too. We didn't know where to put them all, the groceries that is. (109 words)","computer","wife","dress","groceries","Mort",0,
"A PBS radio station was having a contest and if we won we could travel to Minnesota and hear ""A Prairie Home Companion"" with Garrison Keilor. So Mort and I participated in this contest and we were winners and won the trip to Minnesota. We were just about to meet Garrison, or, we had actually begun speaking to him when I turned over and the dream ended. (67 words)","radio","station","Minnesota","contest","Garrison",0,
"A strange dream. My husband and I were up at [school for blind children], it was New Years eve and they were going to have a big party but they changed the school all around. There were all people there we knew, but Pete and I weren't going to this party because we were getting ready to have our own party. The next day with Merv K. A friend of his family was going to come over on New Years day. Somehow the dream was all mixed up. I went into the ladies room there to use the ladies room and somehow our friend Joe N. was in there. I don't know why, and I don't know why we were going to this party when we were going to have our own party the next day. But Pete and I went because somebody told us we should and he and I were wearing shorts. We had shorts on instead of formal. Everyone else was dressed to kill. They all had fancy skirts and nice suits on, here comes Pete and I with our shorts on. I don't even know if it was January. (190 words)","strange","school","blind","ladies","shorts","strange",
"An awful dream of someone taking us somewhere. We were surrounded by all these people on this beach somewhere, taking us somewhere else, to this island. One of the men in this dream's name was Tony, and I don't know if he was bad or good. (46 words)","awful","island","Tony","beach","somewhere","awful",
"Another wild dream. Mort and I were traveling somewhere and there were people from MFB there, people from the council, but the married couples couldn't stay together and we all had little charms or beepers on so they could tell where we were. Where we were traveling, I have no idea but it was scary because they were playing all this country music on the bus, God was it scary!. (70 words)","scary","Mort","wild","beepers","charms","scary",
"At one time I worked at a very large wholesale/retail hardware store and one of the men I worked with was named Bud. In the dream I was back working in that store only the whole set up was different and Bud was not a clerk in the store but a customer. He wanted a large bag of some lawn preparation, probably Scott's lime or something and he wanted to know the price so we started looking inside these catalogues and we couldn't find the price and so I told him that I would do some research and check around and try to find the price. The store closed and that was it. I went home I guess. (118 words)","wholesale/retail","Bud","lawn","catalogue","price",0,
"Dreamt about my dad again. In this dream we were having a big argument. I think I told you that in reality my mother has Alzheimer's disease, she was just recently diagnosed, there have been a lot of problems with her short term memory and forgetting things, leaving doors open instead of locking them and things like that. In this dream I had a big argument with my father and I said ""How can you leave me with this?!"" I was so mad because I thought that he had left me to deal with this and he said ""I guess you'll just have to deal with it the best you can!"" And that's what he would have said. Basically the sense I used in this dream was hearing, we were shouting, we were arguing back and forth with each other. I don't exactly know where we were. We were standing in a room facing each other and yelling at each other, so I could feel myself standing like I normally can. It wasn't a very pleasant dream but it had a sense of reality to it. (186 words)","Dad","Alzheimer's","shouting","room","reality","unpleasant",
"Dreamt about my niece Carol, a twin, that I visited Hillary at her work place and also I dreamed that I had been talking to Carol, who was out of state so I was talking to her by phone and she was doing well. (44 words)","Carol","twin","Hillary","phone","niece",0,
"Dreamt about Sammy. I dreamed that it was time for me to go back to the Guiding Dogs to get another dog. I dreamed that Sammy appeared there and she became my dog all over again. (36 words)","Sammy","Guiding Dogs","another","dog","again",0,
"Dreamt about the ocean. I could hear the ocean and smell the salt, sea air. And we were on a boat, Sammy and I and a good friend of mine. I was just hearing the waves and I was in a relaxed mood because of the waves. (47 words)","Sammy","ocean","salt","waves","boat","relaxed",
"Dreamt of a flat, good sized box, and again I believe my daughter gave it to me. It was not a gift. It had quite a high priced price tag on it. I opened the box and inside were 6 bars of soap. So pretty, so lovely, and they were interspersed with designs between them. They were not neatly arranged, just random, with no pattern and I wanted so desperately to buy that box of soaps because I love nice soaps and I kept looking at the price tag and I couldn't see the price and I knew they were expensive and so I didn't buy the box of soap. I believe they were blue, a pale blue, and the designs which lay between the niches had roses and other flowers, pink roses and yellow roses and blue flowers and green leaves and just really pretty box of soap. (149 words)","box","soap","six","expensive","flowers",0,
"Everywhere that I touched, I was finding clutter. There was a lot of dirty laundry. If I touched the floor I would feel a small pile of dirty laundry. I opened up a drawer of a night stand and pulled out a rolled up dirty dishtowel. The scene changed then and I was at my daughter Robin's house. Where she was living in the dream was not her real house, it seemed that her house was a good sized house and for some reason my son and I had to walk home. We were in a very small entryway, I knew that I was going to be carrying something as we walked home. I don't know what it was but I knew it was going to be cumbersome and so would interfere with easy walking. I considered taking a bus. Anyway, my son, knowing that we were going to have to walk home, or because I had led him to believe so, he walked out the door and it was raining so I brought him back inside because I realized he was in his stocking feet. I bent down to help him find and put on his shoes and I felt that his little socks were wet naturally because he had stepped on wet ground. Then the scene changed again and however we got back here, we were back in our own apartment and there was someone here to visit and she was sitting on my son's bed. She is a very good friend of mine, a lady close to my age, and she greeted us and I knew by her voice who it was and I knew at the same time that I was thinking about my son's grandmother. In the background, in another room, a radio was playing. I also heard the phone ringing. The phone was on a wall, not where it really is in my kitchen. I reached to pick it up and that's where I woke up because my phone was really ringing. (338 words)","clutter","dirty laundry","bus","wet socks","telephone",0,
"Had a dream, not a very happy one. My mother came into the room and told me that my Uncle Joe from Missouri, had passed away. I don't think I was here in my house, I think I was in my old home in Ashford where I used to live and my cousin Jan was there. I got up and everybody was having coffee and doughnuts. My aunt, who has passed away in 1984 was there, and at this table with everyone else. She was a fabulous person, my dad's sister, I guess she was my favorite of all my aunts. She used to take care of me after school. (110 words)","Uncle Joe","Missouri",1984,"donuts","aunt","unhappy",
"Had a very bad dream that my friend Paul was in an automobile accident and that he broke his neck and for some reason he was talking to me and my husband and I guess whenever I dream of my husband, who is dead, I wake up, but Paul was talking in this very distinct voice, very clear. (58 words)","Paul","automobile","accident","neck","dead","very bad",
"Here I am again with clothes. I was pulling clothes, linen and clothing, this time not dirty, they were clean, I knew it, I was not pulling them straight up out of a laundry basket, Instead I was pulling them toward me. It was comparable to a very, very large glove compartment, it was very deep. I am saying glove compartment so you will understand how I was pulling out that way, and I'm pulling and pulling these sheets and pieces of clothing that need to be folded and put away. By the time the dream ended, I had made a very large dent in this mess of clean laundry. (110 words)","clean clothes","glove compartment","very large","pulling","sheets",0,
